departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,producto,precio,Year,Month,Day
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL CENTENARIO,TERPEL,BIODIESEL,8190,2015,1,2
63,QUINDIO,63001,ARMENIA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL CENTENARIO,TERPEL,GASOLINA CORRIENTE,8140,2015,1,2
76,VALLE DEL CAUCA,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,BIODIESEL,8255,2015,1,5
76,VALLE DEL CAUCA,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,GASOLINA CORRIENTE,8439,2015,1,5
76,VALLE DEL CAUCA,76109,BUENAVENTURA,CI COMBUSTIBLES DEL MAR SAS,BIOMAX,GASOLINA CORRIENTE,8439,2015,1,5
18,CAQUETA,18756,SOLANO,COMERCIALIZADORA EL HUECO,TERPEL,BIODIESEL,8500,2015,1,8
68,SANTANDER,68235,EL CARMEN DE CHUCURI,ESTACION DE SERVICIO EL PORVENIR CARMEN DE CHUCURI,TERPEL,BIODIESEL,8300,2015,1,22
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO CIUDAD BONITA,TERPEL,GASOLINA CORRIENTE,8200,2015,2,1
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO CIUDAD BONITA,TERPEL,BIODIESEL,8010,2015,2,1
15,BOYACA,15516,PAIPA,ESTACION DE SERVICIO MONTEARROYO,PETROBRAS,GASOLINA CORRIENTE,8329,2015,2,2
15,BOYACA,15516,PAIPA,ESTACION DE SERVICIO MONTEARROYO,PETROBRAS,BIODIESEL,8105,2015,2,2
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO TERPEL ALKOSTO,TERPEL,GASOLINA CORRIENTE,8359,2015,2,3
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO TERPEL ALKOSTO,TERPEL,BIODIESEL,8109,2015,2,3
18,CAQUETA,18785,SOLITA,EDS SOLITA,TERPEL,GASOLINA CORRIENTE,8600,2015,2,4
18,CAQUETA,18785,SOLITA,EDS SOLITA,TERPEL,BIODIESEL,8500,2015,2,4
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,EL ARABE,TERPEL,GASOLINA CORRIENTE,8978,2015,2,7
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES DEL PACíFICO,TEXACO,GASOLINA EXTRA,8250,2015,2,10
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES DEL PACíFICO,TEXACO,GASOLINA CORRIENTE,8393,2015,2,10
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO AUTOMOTRIZ CEMEX PLANTA BARRANQUILLA,MOBIL,BIODIESEL,7100,2015,3,3
68,SANTANDER,68081,BARRANCABERMEJA,TRANSPORTES Y EQUIPOS SA,TERPEL,BIODIESEL,7618,2015,3,3
50,META,50287,FUENTE DE ORO,ESTACION DE SERVICIO RODRIGUEZ,BIOMAX,GASOLINA CORRIENTE,8520,2015,3,4
50,META,50287,FUENTE DE ORO,ESTACION DE SERVICIO RODRIGUEZ,BIOMAX,BIODIESEL,8200,2015,3,4
11,BOGOTA D.C.,11001,BOGOTA D.C.,MOBIL OCCIDENTE,MOBIL,GASOLINA CORRIENTE,7973,2015,3,11
11,BOGOTA D.C.,11001,BOGOTA D.C.,MOBIL OCCIDENTE,MOBIL,BIODIESEL,7709,2015,3,11
25,CUNDINAMARCA,25148,CAPARRAPI,ESTACION DE SERVICIO VILLA DEL RIONEGRO,BIOMAX,GASOLINA CORRIENTE,8865,2015,3,14
25,CUNDINAMARCA,25148,CAPARRAPI,ESTACION DE SERVICIO VILLA DEL RIONEGRO,BIOMAX,BIODIESEL,8100,2015,3,14
47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AUTOMOTRIZ INTERASEO SA ESP,BIOMAX,BIODIESEL,7450,2015,4,1
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES CALDAS,PUMA,BIODIESEL,7650,2015,4,1
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES CALDAS,PUMA,GASOLINA CORRIENTE,7780,2015,4,1
91,AMAZONAS,91001,LETICIA,ESTACION DE SERVICIO FARO DEL SUR,TERPEL,GASOLINA CORRIENTE,7900,2015,4,4
91,AMAZONAS,91001,LETICIA,ESTACION DE SERVICIO FARO DEL SUR,TERPEL,BIODIESEL,7400,2015,4,4
41,HUILA,41001,NEIVA,SERVICENTRO LA QUINTA,MOBIL,BIODIESEL,7920,2015,4,4
41,HUILA,41001,NEIVA,SERVICENTRO LA QUINTA,MOBIL,GASOLINA CORRIENTE,8090,2015,4,4
91,AMAZONAS,91001,LETICIA,ESTACION DE SERVICIO FARO DEL SUR,TERPEL,GASOLINA CORRIENTE,7900,2015,4,4
19,CAUCA,19513,PADILLA,ESTACION DE SERVICIO TERPEL PADILLA,TERPEL,GASOLINA CORRIENTE,7950,2015,4,7
19,CAUCA,19513,PADILLA,ESTACION DE SERVICIO TERPEL PADILLA,TERPEL,BIODIESEL,7900,2015,4,7
52,NARIÑO,52250,EL CHARCO,GASOLINERA Y MISCELANEA JHON,BIOMAX,BIODIESEL,6465,2015,4,10
52,NARIÑO,52250,EL CHARCO,GASOLINERA Y MISCELANEA JHON,BIOMAX,GASOLINA CORRIENTE,6285,2015,4,10
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,EDS KALAMAR,TERPEL,BIODIESEL,8500,2015,4,10
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,EDS KALAMAR,TERPEL,GASOLINA CORRIENTE,8500,2015,4,10
52,NARIÑO,52835,TUMACO,BRISAS DEL CHAJAL,TEXACO,BIODIESEL,6100,2015,5,1
52,NARIÑO,52835,TUMACO,BRISAS DEL CHAJAL,TEXACO,GASOLINA CORRIENTE,6100,2015,5,1
25,CUNDINAMARCA,25214,COTA,ESTACION BIOMAX OPEN OIL SIBERIA,BIOMAX,GASOLINA CORRIENTE,7759,2015,5,4
25,CUNDINAMARCA,25214,COTA,ESTACION BIOMAX OPEN OIL SIBERIA,BIOMAX,BIODIESEL,7559,2015,5,4
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO VILLANUEVA BELEN,MOBIL,BIODIESEL,7868,2015,5,7
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES EL CHAJAL,MOBIL,GASOLINA CORRIENTE,6130,2015,5,13
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO COMBUSTIBLES Y LUBRICANTES EL CHAJAL,MOBIL,BIODIESEL,6180,2015,5,13
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES LA BARCA,PETROMIL,BIODIESEL,6170,2015,6,3
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES LA BARCA,PETROMIL,GASOLINA CORRIENTE,6000,2015,6,3
27,CHOCO,27001,QUIBDO,ESTACION DE SERVICIO AUTOMOTRIZ REPRESENTACIONES CHOCO No 1,ZEUSS,BIODIESEL,8500,2015,6,4
27,CHOCO,27001,QUIBDO,ESTACION DE SERVICIO AUTOMOTRIZ REPRESENTACIONES CHOCO No 1,ZEUSS,GASOLINA CORRIENTE,8930,2015,6,4
73,TOLIMA,73349,HONDA,ESTACION DE SERVICIO TECA CIA LTDA,MOBIL,BIODIESEL,7790,2015,6,4
73,TOLIMA,73349,HONDA,ESTACION DE SERVICIO TECA CIA LTDA,MOBIL,GASOLINA CORRIENTE,7390,2015,6,4
15,BOYACA,15425,MACANAL,ESTACION DE SERVICIO AUTOMOTRIZ MULTISERVICIOS EL NAVEGANTE ESTACION 2,OCTANO,GASOLINA CORRIENTE,8585,2015,7,1
15,BOYACA,15425,MACANAL,ESTACION DE SERVICIO AUTOMOTRIZ MULTISERVICIOS EL NAVEGANTE ESTACION 2,OCTANO,BIODIESEL,8280,2015,7,1
05,ANTIOQUIA,05250,EL BAGRE,GASOLINERA NORLEIVA,TEXACO,GASOLINA CORRIENTE,8575,2015,7,7
05,ANTIOQUIA,05250,EL BAGRE,GASOLINERA NORLEIVA,TEXACO,BIODIESEL,8480,2015,7,7
18,CAQUETA,18410,LA MONTAÑITA,EDS SERVICAR SAN ISIDRO,TERPEL,GASOLINA CORRIENTE,8800,2015,7,20
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO COMBUSTIBLES LA INDEPENDENCIA,BIOMAX,GASOLINA CORRIENTE,8040,2015,8,1
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO COMBUSTIBLES LA COBRA,MOBIL,GASOLINA CORRIENTE,6000,2015,8,1
52,NARIÑO,52490,OLAYA HERRERA (BOCAS DE SATINGA),GASOLINERA OROBIO No 1,PETROMIL,BIODIESEL,6200,2015,8,1
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO COMBUSTIBLES LA INDEPENDENCIA,BIOMAX,BIODIESEL,7653,2015,8,1
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO GASOLINERA EL PESCADOR,MOBIL,GASOLINA CORRIENTE,6000,2015,8,1
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO GASOLINERA EL PESCADOR,MOBIL,BIODIESEL,6200,2015,8,1
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO COMBUSTIBLES LA COBRA,MOBIL,GASOLINA CORRIENTE,6000,2015,8,1
52,NARIÑO,52490,OLAYA HERRERA (BOCAS DE SATINGA),GASOLINERA OROBIO No 1,PETROMIL,GASOLINA CORRIENTE,6000,2015,8,1
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),ESTACION DE SERVICIO COMBUSTIBLES LA COBRA,MOBIL,BIODIESEL,6200,2015,8,1
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO GASOLINERA LOS VIAJEROS,BIOMAX,BIODIESEL,6235,2015,8,5
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO GASOLINERA LOS VIAJEROS,BIOMAX,GASOLINA CORRIENTE,6200,2015,8,5
50,META,50001,VILLAVICENCIO,EL CIMARRON,PETROBRAS,GASOLINA CORRIENTE,8964,2015,8,6
50,META,50001,VILLAVICENCIO,EL CIMARRON,PETROBRAS,BIODIESEL,8109,2015,8,6
05,ANTIOQUIA,05250,EL BAGRE,ESTACION DE SERVICIO MINEROS,TEXACO,GASOLINA CORRIENTE,8598,2015,8,14
13,BOLIVAR,13838,TURBANA,EDS MAMONAL,PETROMIL,BIODIESEL,7198,2015,9,1
13,BOLIVAR,13838,TURBANA,EDS MAMONAL,PETROMIL,GASOLINA CORRIENTE,7696,2015,9,1
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO MANTENIMIENTO LOS ROBLES LIMITADA,ECOS,BIODIESEL,7650,2015,9,3
17,CALDAS,17867,VICTORIA,ESTACION DE SERVICIO SANTA MONICA,BIOMAX,GASOLINA CORRIENTE,8070,2015,9,7
17,CALDAS,17867,VICTORIA,ESTACION DE SERVICIO SANTA MONICA,BIOMAX,BIODIESEL,7700,2015,9,7
13,BOLIVAR,13430,MAGANGUE,ESTACION DE SERVICIO ESTANCO Y GASOLINERA MIRAFLORES,PUMA,GASOLINA CORRIENTE,8530,2015,9,8
13,BOLIVAR,13430,MAGANGUE,ESTACION DE SERVICIO ESTANCO Y GASOLINERA MIRAFLORES,PUMA,BIODIESEL,7810,2015,9,8
15,BOYACA,15837,TUTA,ESTACION DE SERVICIO AUTOMOTRIZ PORVENIR JAC LTDA LA PLAYA,BIOMAX,BIODIESEL,7584,2015,9,12
15,BOYACA,15837,TUTA,ESTACION DE SERVICIO AUTOMOTRIZ PORVENIR JAC LTDA LA PLAYA,BIOMAX,GASOLINA CORRIENTE,8048,2015,9,12
18,CAQUETA,18205,CURILLO,ESTACION DE SERVICIO AUTOMOTRIZ LA MEJOR ME,TERPEL,GASOLINA CORRIENTE,8410,2015,9,14
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO CALLE 80,TEXACO,BIODIESEL,7650,2015,10,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO CALLE 80,TEXACO,GASOLINA CORRIENTE,7890,2015,10,2
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO COOPERATIVA DE TRANSPORTADORES DE BARRANQUILLA,TERPEL,BIODIESEL,7550,2015,10,6
11,BOGOTA D.C.,11001,BOGOTA D.C.,COMBUSTIBLES Y TRANSPORTES SHARITO,OCTANO,BIODIESEL,7530,2015,11,24
11,BOGOTA D.C.,11001,BOGOTA D.C.,COMBUSTIBLES Y TRANSPORTES SHARITO,OCTANO,GASOLINA CORRIENTE,7740,2015,11,24
25,CUNDINAMARCA,25402,LA VEGA,ESTACION DE SERVICIO EL VINAL,BIOMAX,GASOLINA CORRIENTE,8125,2015,12,1
25,CUNDINAMARCA,25402,LA VEGA,ESTACION DE SERVICIO EL VINAL,BIOMAX,BIODIESEL,8403,2015,12,1
